company,batch,confidence,need_verdict,signal,source_url
Sixtyfour,P25,high,Needs Gum Now,Explicit FastAPI + workflow engine + retries/idempotency + background workers (Celery/queues),https://www.ycombinator.com/companies/sixtyfour/jobs/L3ZbdbO-software-engineer-full-stack
Keye,F24,high,Needs Gum Now,FastAPI backend and bonus Celery/Redis/RabbitMQ queue stack in hiring requirements,https://www.ycombinator.com/companies/keye/jobs/yJ2FBll-senior-software-engineer-hybrid
Kastle,S24,high,Needs Gum Now,Python backend + event-driven and queue-oriented architecture signals for AI operations,https://www.ycombinator.com/companies/kastle/jobs/ItDVKB7-founding-engineer-at-kastle-s24
GovernGPT,W24,high,Needs Gum Soon,Backend role emphasizes orchestration and LLM processing at scale; Python + Postgres stack,https://www.ycombinator.com/companies/governgpt/jobs/Sq46dES-backend-engineer
Attunement,W24,medium,Needs Gum Soon,Python/FastAPI founding-engineer signal plus reliability-sensitive workflows,https://www.ycombinator.com/companies/attunement/jobs/HbVzmPN-founding-engineer
Trata,W25,medium,Maybe,"FastAPI/Python stack signal, but no explicit queue pain shown",https://www.ycombinator.com/companies/trata/jobs/FTbjpSQ-founding-engineer
Ellipsis,W24,medium,Maybe,Uses Python/FastAPI and mentions Hatchet-style orchestration,https://www.ycombinator.com/companies/ellipsis/jobs/hOLJHSp-founding-ai-engineer
Model ML,W24,medium,Maybe,YC job mention includes Redis with queue/pub-sub style backend usage,https://www.ycombinator.com/companies/model-ml/jobs/vRcObwO-full-stack-engineer
Onyx,W24,medium,Needs Gum Soon,Data ingestion + syncing from many sources implies recurring background processing,https://www.ycombinator.com/companies/onyx
Lantern,W24,medium,Maybe,AI data platform on Postgres likely runs async indexing and embedding jobs,https://www.ycombinator.com/companies/lantern-2
Driver,W24,medium,Needs Gum Soon,Precomputed context layer for large codebases suggests scheduled/indexing workloads,https://www.ycombinator.com/companies/driver
Gumloop,W24,low,Low,Workflow automation product; may build internal job infra but category overlap,https://www.ycombinator.com/companies/gumloop
Event Horizon Labs,W24,medium,Needs Gum Soon,Thousands of AI agents + signal/event processing implies heavy background execution,https://www.ycombinator.com/companies/event-horizon-labs
Upsolve AI,W24,medium,Needs Gum Soon,Customer-facing analytics platform and data stack often require async pipelines,https://www.ycombinator.com/companies/upsolve-ai
Navier AI,W24,medium,Needs Gum Soon,CFD simulation automation and cloud resource management imply queued workloads,https://www.ycombinator.com/companies/navier-ai
DryMerge,W24,medium,Needs Gum Soon,Agents monitoring email/calendar and updating systems in background,https://www.ycombinator.com/companies/drymerge
Relari,W24,low,Maybe,"AI agent infra can need jobs, but direct queue pain not explicit",https://www.ycombinator.com/companies/relari
Tesseral,W24,low,Low,Identity platform; less clear recurring compute-heavy background queues,https://www.ycombinator.com/companies/tesseral
Scritch,W24,medium,Needs Gum Soon,Voice-agent operations in healthcare workflows likely rely on background tasks,https://www.ycombinator.com/companies/scritch
Legora,W24,medium,Needs Gum Soon,Legal AI workflow automation typically needs document/background processing,https://www.ycombinator.com/companies/legora
Poka Labs,S24,medium,Needs Gum Soon,Ops automation platform integrating data historians/email/PDFs suggests async jobs,https://www.ycombinator.com/companies/poka-labs
Simplex,S24,medium,Needs Gum Soon,Web agents for repetitive portal operations imply queue/retry orchestration,https://www.ycombinator.com/companies/simplex
Central,S24,medium,Needs Gum Soon,AI + expert operations for payroll/compliance likely needs scheduled automations,https://www.ycombinator.com/companies/central
Fuse,S24,medium,Needs Gum Soon,Healthcare intake/verification automation implies durable background processing,https://www.ycombinator.com/companies/fuse-2
Spur,S24,medium,Needs Gum Soon,Automated E2E testing product likely runs queued test jobs at scale,https://www.ycombinator.com/companies/spur
Variant,F24,low,Maybe,Creative intelligence tool may need async rendering/generation but uncertain,https://www.ycombinator.com/companies/variant
Riveter AI,F24,medium,Needs Gum Soon,Web scraping automation is queue-heavy and retry-heavy by nature,https://www.ycombinator.com/companies/riveter-ai
Reticular,F24,low,Maybe,"Drug discovery AI likely runs batch compute, but unclear web task pattern",https://www.ycombinator.com/companies/reticular
Smooth,F24,medium,Needs Gum Soon,Browser agent execution is typically asynchronous with retries/timeouts,https://www.ycombinator.com/companies/smooth
Surge,F24,medium,Maybe,Telephony API/infrastructure likely has async workflow needs,https://www.ycombinator.com/companies/surge
Edgedive,F24,medium,Needs Gum Soon,On-call triage/debug agent suggests event-driven async processing,https://www.ycombinator.com/companies/edgedive
Egress Health,W25,medium,Needs Gum Soon,Revenue cycle workflow automation implies durable job execution,https://www.ycombinator.com/companies/egress-health
Promptless,W25,medium,Needs Gum Soon,Auto docs updates from releases/tickets/Slack implies trigger + queue backend,https://www.ycombinator.com/companies/promptless
Cuckoo,W25,low,Maybe,Realtime translation has background components but not obvious queue pain,https://www.ycombinator.com/companies/cuckoo
Infinite,W25,low,Low,Payments infra may need jobs but less direct Celery-style adoption signal,https://www.ycombinator.com/companies/infinite
Peppr AI,W25,medium,Needs Gum Soon,Knowledge synthesis across scattered data sources implies pipeline jobs,https://www.ycombinator.com/companies/peppr-ai
OpenIntake,W25,medium,Needs Gum Soon,24/7 AI intake workflows likely depend on async retries and task orchestration,https://www.ycombinator.com/companies/openintake
Artificial Societies,W25,medium,Needs Gum Soon,Simulation workloads and repeated experiments imply background execution,https://www.ycombinator.com/companies/artificial-societies
Leeroo,S25,medium,Needs Gum Soon,Continuously learning org AI + shipping programs implies scheduled jobs,https://www.ycombinator.com/companies/leeroo
PgDog,S25,low,Low,Database infra product; async jobs less central to core buyer pain,https://www.ycombinator.com/companies/pgdog
Attune,S25,low,Low,Build tooling focus; likely not immediate queue pain buyer,https://www.ycombinator.com/companies/attune
Mindfort,S25,medium,Maybe,Autonomous security agents imply event handling and background execution,https://www.ycombinator.com/companies/mindfort
QualGent,S25,medium,Needs Gum Soon,QA agent workflows at scale generally depend on queued task orchestration,https://www.ycombinator.com/companies/qualgent
Stormy AI,S25,medium,Needs Gum Soon,Automated outreach/follow-ups are classic scheduled + retry jobs,https://www.ycombinator.com/companies/stormy-ai
Autumn,S25,low,Low,Pricing infra for AI startups; different core problem than background jobs,https://www.ycombinator.com/companies/autumn
Nuntius,S25,low,Maybe,Model-alignment infra may run batch jobs but buyer pain may differ,https://www.ycombinator.com/companies/nuntius
Wafer,S25,low,Low,Kernel optimization infra; less likely direct Gum fit today,https://www.ycombinator.com/companies/wafer
Panels,S25,medium,Maybe,Data platform for speech datasets can require asynchronous processing pipelines,https://www.ycombinator.com/companies/panels
Qualify.bot,S25,medium,Needs Gum Soon,Loan processing automation maps well to queue + retry workloads,https://www.ycombinator.com/companies/qualify-bot
Locata,S25,medium,Needs Gum Soon,Referral automation in healthcare implies event-driven async workflows,https://www.ycombinator.com/companies/locata
Pally,S25,low,Maybe,"Messaging product may use jobs, but queue pain not explicit",https://www.ycombinator.com/companies/pally
OpenBuilder,F25,low,Low,Vibe coding platform; not a core background-job buyer,https://www.ycombinator.com/companies/openbuilder
Rovi Health,F25,medium,Needs Gum Soon,Healthcare concierge automation likely needs background orchestration,https://www.ycombinator.com/companies/rovi-health
Bidflow,W26,medium,Needs Gum Soon,RFP/estimating automation likely includes queued extraction and scoring,https://www.ycombinator.com/companies/bidflow
Servo7,W26,low,Low,Robotics company; orchestration needs may be edge-specific not Gum-first,https://www.ycombinator.com/companies/servo7
